intent,example_question
greetings,"hello, hi, hey"
goodbye,"bye, see you, take care"
thanks,"thank you, thanks a lot"
working_hours,what are your working hours?
location,where are you located?
founder,who is the founder?
foundation_year,when was InGen Dynamics founded?
mission,what is the company's mission?
products,What products do you offer?
product_aido,Tell me about Aido.
product_sentinel,Tell me about Sentinel.
product_kaiser,What is Kaiser.Haus?
product_origami,What is Origami?
futurenauts,What is the Futurenauts program?
revenue_pipeline,What is your revenue pipeline?
funding,How much funding have you raised?
field_operations,What are your field operations hours?
industries_targeted,Which industries do you target?
future_goals,What are your future goals?
global_presence,Where do you operate globally?
labor_shortage_solution,How do you solve labor shortages?
environmental_focus,What are your environmental initiatives?
customer_focus,How do you focus on customers?
customization,Are your products customizable?
ai_integration,How do you integrate AI?
data_analytics,Do you use data analytics?
real_time_monitoring,Do your products have real-time monitoring?
safety_features,What safety features are included?
autonomous_operation,Are your robots autonomous?
education_initiatives,Do you support education initiatives?
recognitions,What recognitions have you received?
media_presence,Do you have media presence?
arshad_background,What is Arshad Hisham's background?
company_growth,How has the company grown?
robotic_innovation,What robotic innovations have you introduced?
product_scalability,Are your products scalable?
user_interfaces,Are your interfaces user-friendly?
competitive_advantage,What is your competitive advantage?
cost_efficiency,Are your solutions cost-efficient?
employee_engagement,How do you engage employees?
advisory_roles,Does Arshad serve on advisory roles?
strategic_partnerships,Do you have strategic partnerships?
smart_home_solutions,What are your smart home solutions?
security_solution,What security solutions do you provide?
business_automation,What are your business automation products?
investment_opportunities,Can I invest in InGen Dynamics?
market_position,What is your market position?
operational_hours,What are your operational hours?
financial_growth,How is your financial growth?
r_and_d,What about research and development?
future_prototypes,Are there prototypes in the pipeline?
upcoming_humanoid_robot,Are you building humanoid robots?
expansion_plan,What are your expansion plans?
sustainability_initiatives,What are your sustainability efforts?
career_opportunities,Are there career opportunities available?
learning_resources,What learning resources do you offer?
field_applications,What are the field applications?
autonomous_security,Tell me about autonomous security.
robot_modularity,How modular are your robots?
customer_support,Do you offer customer support?
personalization,How personalized are the solutions?
continuous_innovation,How do you maintain innovation?
leadership_philosophy,What is the leadership philosophy?
product_deployment,Where have your products been deployed?
regions_served,Which regions do you serve?
investment_success,How successful has your investment been?
product_customizability,Can I customize your products?
educational_programs,Do you offer educational programs?
vision_for_future,What is your vision for the future?
platform_integration,How do you integrate platforms?
continuous_feedback,Do you consider continuous feedback?
service_robotics,What is your take on service robotics?
security_systems,Tell me about your security systems.
smart_home_features,What smart home features are available?
business_automation_benefits,What are the benefits of business automation?
ai_platform,What is your AI platform?
machine_learning_usage,How do you use machine learning?
operational_efficiency,How do you ensure operational efficiency?
real_world_use_cases,Do you have real-world use cases?
problem_solving_skills,How do you develop problem-solving skills?
data_driven_decision,How do you use data-driven decisions?
safety_standards,What safety standards do you follow?
environmentally_friendly,Are your products environmentally friendly?
industry_awards,Have you won industry awards?
team_diversity,Tell me about team diversity.
multi_language_support,Do you offer multi-language support?
market_leadership,Are you a market leader?
competitive_challenges,What competitive challenges do you face?
company_ethics,What are your company ethics?
media_interviews,Have you given media interviews?
public_speaking,Does Arshad speak publicly?
tech_community_involvement,Do you engage with the tech community?
global_outreach,What is your global outreach?
technology_advancements,What are your technology advancements?
robotic_education,How do you promote robotic education?
modular_robot_design,Tell me about modular robot design.
autonomous_field_testing,Do you test robots autonomously?
revenue_achievements,What are your revenue achievements?
investment_growth,What investment growth have you had?
smart_robot_features,What smart features do your robots have?
future_ambitions,What are your future ambitions?
